year,DHSID_EA,n_quads
2017,BF-2017-7Z-00000001,8
2017,BF-2017-7Z-00000002,6
2017,BF-2017-7Z-00000004,6
2017,BF-2017-7Z-00000005,5
2017,BF-2017-7Z-00000006,5
2017,BF-2017-7Z-00000007,8
2017,BF-2017-7Z-00000008,5
2017,BF-2017-7Z-00000009,6
2017,BF-2017-7Z-00000010,5
2017,BF-2017-7Z-00000011,8
2017,BF-2017-7Z-00000012,8
2017,BF-2017-7Z-00000013,5
2017,BF-2017-7Z-00000014,8
2017,BF-2017-7Z-00000015,6
2017,BF-2017-7Z-00000016,6
2017,BF-2017-7Z-00000017,8
2017,BF-2017-7Z-00000018,6
2017,BF-2017-7Z-00000019,6
2017,BF-2017-7Z-00000022,5
2017,BF-2017-7Z-00000023,6
2017,BF-2017-7Z-00000024,6
2017,BF-2017-7Z-00000025,8
2017,BF-2017-7Z-00000027,8
2017,BF-2017-7Z-00000028,8
2017,BF-2017-7Z-00000029,5
2017,BF-2017-7Z-00000030,6
2017,BF-2017-7Z-00000031,6
2017,BF-2017-7Z-00000032,8
2017,BF-2017-7Z-00000033,6
2017,BF-2017-7Z-00000034,5
2017,BF-2017-7Z-00000035,8
2017,BF-2017-7Z-00000036,6
2017,BF-2017-7Z-00000037,8
2017,BF-2017-7Z-00000038,6
2017,BF-2017-7Z-00000039,6
2017,BF-2017-7Z-00000040,5
2017,BF-2017-7Z-00000041,6
2017,BF-2017-7Z-00000043,5
2017,BF-2017-7Z-00000045,8
2017,BF-2017-7Z-00000046,8
2017,BF-2017-7Z-00000047,6
2017,BF-2017-7Z-00000048,5
2017,BF-2017-7Z-00000049,5
2017,BF-2017-7Z-00000050,6
2017,BF-2017-7Z-00000051,8
2017,BF-2017-7Z-00000052,5
2017,BF-2017-7Z-00000053,6
2017,BF-2017-7Z-00000055,6
2017,BF-2017-7Z-00000056,6
2017,BF-2017-7Z-00000057,8
2017,BF-2017-7Z-00000058,6
2017,BF-2017-7Z-00000059,5
2017,BF-2017-7Z-00000060,5
2017,BF-2017-7Z-00000061,6
2017,BF-2017-7Z-00000062,6
2017,BF-2017-7Z-00000063,6
2017,BF-2017-7Z-00000064,5
2017,BF-2017-7Z-00000065,6
2017,BF-2017-7Z-00000066,8
2017,BF-2017-7Z-00000067,8
2017,BF-2017-7Z-00000068,6
2017,BF-2017-7Z-00000069,6
2017,BF-2017-7Z-00000070,6
2017,BF-2017-7Z-00000071,8
2017,BF-2017-7Z-00000072,6
2017,BF-2017-7Z-00000074,6
2017,BF-2017-7Z-00000077,6
2017,BF-2017-7Z-00000078,6
2017,BF-2017-7Z-00000079,5
2017,BF-2017-7Z-00000080,8
2017,BF-2017-7Z-00000081,6
2017,BF-2017-7Z-00000082,6
2017,BF-2017-7Z-00000083,6
2017,BF-2017-7Z-00000084,6
2017,BF-2017-7Z-00000085,8
2017,BF-2017-7Z-00000086,8
2017,BF-2017-7Z-00000087,8
2017,BF-2017-7Z-00000088,6
2017,BF-2017-7Z-00000090,5
2017,BF-2017-7Z-00000093,6
2017,BF-2017-7Z-00000094,5
2017,BF-2017-7Z-00000096,10
2017,BF-2017-7Z-00000097,6
2017,BF-2017-7Z-00000098,8
2017,BF-2017-7Z-00000099,5
2017,BF-2017-7Z-00000100,8
2017,BF-2017-7Z-00000101,6
2017,BF-2017-7Z-00000102,5
2017,BF-2017-7Z-00000103,5
2017,BF-2017-7Z-00000104,8
2017,BF-2017-7Z-00000105,6
2017,BF-2017-7Z-00000106,5
2017,BF-2017-7Z-00000107,6
2017,BF-2017-7Z-00000108,6
2017,BF-2017-7Z-00000109,10
2017,BF-2017-7Z-00000110,6
2017,BF-2017-7Z-00000111,8
2017,BF-2017-7Z-00000112,6
2017,BF-2017-7Z-00000113,5
2017,BF-2017-7Z-00000114,6
2017,BF-2017-7Z-00000115,6
2017,BF-2017-7Z-00000116,6
2017,BF-2017-7Z-00000117,5
2017,BF-2017-7Z-00000118,6
2017,BF-2017-7Z-00000119,10
2017,BF-2017-7Z-00000120,5
2017,BF-2017-7Z-00000121,6
2017,BF-2017-7Z-00000122,6
2017,BF-2017-7Z-00000123,5
2017,BF-2017-7Z-00000124,8
2017,BF-2017-7Z-00000125,5
2017,BF-2017-7Z-00000126,5
2017,BF-2017-7Z-00000127,8
2017,BF-2017-7Z-00000128,6
2017,BF-2017-7Z-00000129,6
2017,BF-2017-7Z-00000130,6
2017,BF-2017-7Z-00000131,5
2017,BF-2017-7Z-00000132,8
2017,BF-2017-7Z-00000133,6
2017,BF-2017-7Z-00000134,8
2017,BF-2017-7Z-00000135,5
2017,BF-2017-7Z-00000136,6
2017,BF-2017-7Z-00000137,5
2017,BF-2017-7Z-00000138,6
2017,BF-2017-7Z-00000139,6
2017,BF-2017-7Z-00000140,6
2017,BF-2017-7Z-00000141,5
2017,BF-2017-7Z-00000142,6
2017,BF-2017-7Z-00000143,8
2017,BF-2017-7Z-00000144,6
2017,BF-2017-7Z-00000145,5
2017,BF-2017-7Z-00000146,6
2017,BF-2017-7Z-00000147,8
2017,BF-2017-7Z-00000148,8
2017,BF-2017-7Z-00000149,5
2017,BF-2017-7Z-00000150,5
2017,BF-2017-7Z-00000151,8
2017,BF-2017-7Z-00000152,8
2017,BF-2017-7Z-00000153,6
2017,BF-2017-7Z-00000154,8
2017,BF-2017-7Z-00000155,6
2017,BF-2017-7Z-00000156,5
2017,BF-2017-7Z-00000157,6
2017,BF-2017-7Z-00000158,5
2017,BF-2017-7Z-00000159,5
2017,BF-2017-7Z-00000160,8
2017,BF-2017-7Z-00000161,6
2017,BF-2017-7Z-00000162,10
2017,BF-2017-7Z-00000163,6
2017,BF-2017-7Z-00000164,6
2017,BF-2017-7Z-00000165,6
2017,BF-2017-7Z-00000166,6
2017,BF-2017-7Z-00000167,6
2017,BF-2017-7Z-00000168,6
2017,BF-2017-7Z-00000169,8
2017,BF-2017-7Z-00000170,8
2017,BF-2017-7Z-00000171,6
2017,BF-2017-7Z-00000173,6
2017,BF-2017-7Z-00000174,6
2017,BF-2017-7Z-00000175,6
2017,BF-2017-7Z-00000176,6
2017,BF-2017-7Z-00000177,8
2017,BF-2017-7Z-00000178,6
2017,BF-2017-7Z-00000179,6
2017,BF-2017-7Z-00000180,6
2017,BF-2017-7Z-00000181,6
2017,BF-2017-7Z-00000182,6
2017,BF-2017-7Z-00000183,5
2017,BF-2017-7Z-00000184,8
2017,BF-2017-7Z-00000185,6
2017,BF-2017-7Z-00000186,5
2017,BF-2017-7Z-00000187,8
2017,BF-2017-7Z-00000188,6
2017,BF-2017-7Z-00000189,6
2017,BF-2017-7Z-00000190,8
2017,BF-2017-7Z-00000191,8
2017,BF-2017-7Z-00000192,6
2017,BF-2017-7Z-00000193,5
2017,BF-2017-7Z-00000194,6
2017,BF-2017-7Z-00000195,5
2017,BF-2017-7Z-00000196,8
2017,BF-2017-7Z-00000197,5
2017,BF-2017-7Z-00000200,6
2017,BF-2017-7Z-00000201,6
2017,BF-2017-7Z-00000202,8
2017,BF-2017-7Z-00000203,6
2017,BF-2017-7Z-00000204,5
2017,BF-2017-7Z-00000205,6
2017,BF-2017-7Z-00000206,8
2017,BF-2017-7Z-00000207,8
2017,BF-2017-7Z-00000208,8
2017,BF-2017-7Z-00000209,6
2017,BF-2017-7Z-00000210,6
2017,BF-2017-7Z-00000212,6
2017,BF-2017-7Z-00000213,6
2017,BF-2017-7Z-00000215,6
2017,BF-2017-7Z-00000216,6
2017,BF-2017-7Z-00000219,6
2017,BF-2017-7Z-00000220,5
2017,BF-2017-7Z-00000221,6
2017,BF-2017-7Z-00000222,5
2017,BF-2017-7Z-00000223,6
2017,BF-2017-7Z-00000224,5
2017,BF-2017-7Z-00000227,8
2017,BF-2017-7Z-00000232,6
2017,BF-2017-7Z-00000233,5
2017,BF-2017-7Z-00000234,13
2017,BF-2017-7Z-00000235,5
2017,BF-2017-7Z-00000236,5
2017,BF-2017-7Z-00000237,6
2017,BF-2017-7Z-00000238,5
2017,BF-2017-7Z-00000239,8
2017,BF-2017-7Z-00000240,5
2017,BF-2017-7Z-00000241,6
2017,BF-2017-7Z-00000242,5
2017,BF-2017-7Z-00000243,6
2017,BF-2017-7Z-00000244,5
2017,BF-2017-7Z-00000245,6
2017,BF-2017-7Z-00000246,6
2017,BF-2017-7Z-00000247,5
2017,BF-2017-7Z-00000248,6
2017,BF-2017-7Z-00000249,6
2017,BF-2017-7Z-00000250,6
2017,BF-2017-7Z-00000252,5
2017,BJ-2017-7#-00000001,5
2017,BJ-2017-7#-00000002,5
2017,BJ-2017-7#-00000003,5
2017,BJ-2017-7#-00000004,6
2017,BJ-2017-7#-00000005,6
2017,BJ-2017-7#-00000006,5
2017,BJ-2017-7#-00000007,5
2017,BJ-2017-7#-00000008,6
2017,BJ-2017-7#-00000009,6
2017,BJ-2017-7#-00000010,5
2017,BJ-2017-7#-00000011,6
2017,BJ-2017-7#-00000012,6
2017,BJ-2017-7#-00000013,10
2017,BJ-2017-7#-00000014,6
2017,BJ-2017-7#-00000015,6
2017,BJ-2017-7#-00000016,8
2017,BJ-2017-7#-00000017,8
2017,BJ-2017-7#-00000018,6
2017,BJ-2017-7#-00000019,6
2017,BJ-2017-7#-00000020,10
2017,BJ-2017-7#-00000021,6
2017,BJ-2017-7#-00000022,6
2017,BJ-2017-7#-00000023,6
2017,BJ-2017-7#-00000024,6
2017,BJ-2017-7#-00000025,8
2017,BJ-2017-7#-00000026,6
2017,BJ-2017-7#-00000027,5
2017,BJ-2017-7#-00000028,10
2017,BJ-2017-7#-00000029,8
2017,BJ-2017-7#-00000030,6
2017,BJ-2017-7#-00000031,5
2017,BJ-2017-7#-00000032,6
2017,BJ-2017-7#-00000033,5
2017,BJ-2017-7#-00000034,8
2017,BJ-2017-7#-00000035,5
2017,BJ-2017-7#-00000036,6
2017,BJ-2017-7#-00000037,8
2017,BJ-2017-7#-00000038,6
2017,BJ-2017-7#-00000039,8
2017,BJ-2017-7#-00000040,6
2017,BJ-2017-7#-00000041,6
2017,BJ-2017-7#-00000042,5
2017,BJ-2017-7#-00000043,8
2017,BJ-2017-7#-00000044,6
2017,BJ-2017-7#-00000045,6
2017,BJ-2017-7#-00000046,6
2017,BJ-2017-7#-00000047,6
2017,BJ-2017-7#-00000048,6
2017,BJ-2017-7#-00000049,6
2017,BJ-2017-7#-00000050,5
2017,BJ-2017-7#-00000051,6
2017,BJ-2017-7#-00000052,5
2017,BJ-2017-7#-00000053,6
2017,BJ-2017-7#-00000054,5
2017,BJ-2017-7#-00000055,5
2017,BJ-2017-7#-00000056,10
2017,BJ-2017-7#-00000057,6
2017,BJ-2017-7#-00000058,6
2017,BJ-2017-7#-00000059,6
2017,BJ-2017-7#-00000060,6
2017,BJ-2017-7#-00000061,5
2017,BJ-2017-7#-00000062,6
2017,BJ-2017-7#-00000063,8
2017,BJ-2017-7#-00000064,6
2017,BJ-2017-7#-00000065,6
2017,BJ-2017-7#-00000066,8
2017,BJ-2017-7#-00000067,6
2017,BJ-2017-7#-00000068,8
2017,BJ-2017-7#-00000069,8
2017,BJ-2017-7#-00000070,8
2017,BJ-2017-7#-00000071,8
2017,BJ-2017-7#-00000072,6
2017,BJ-2017-7#-00000073,8
2017,BJ-2017-7#-00000074,5
2017,BJ-2017-7#-00000075,5
2017,BJ-2017-7#-00000076,5
2017,BJ-2017-7#-00000077,8
2017,BJ-2017-7#-00000078,6
2017,BJ-2017-7#-00000079,6
2017,BJ-2017-7#-00000080,8
2017,BJ-2017-7#-00000081,5
2017,BJ-2017-7#-00000082,6
2017,BJ-2017-7#-00000083,6
2017,BJ-2017-7#-00000084,6
2017,BJ-2017-7#-00000086,6
2017,BJ-2017-7#-00000087,6
2017,BJ-2017-7#-00000088,5
2017,BJ-2017-7#-00000089,5
2017,BJ-2017-7#-00000090,5
2017,BJ-2017-7#-00000091,5
2017,BJ-2017-7#-00000092,5
2017,BJ-2017-7#-00000093,5
2017,BJ-2017-7#-00000094,5
2017,BJ-2017-7#-00000095,6
2017,BJ-2017-7#-00000096,6
2017,BJ-2017-7#-00000099,10
2017,BJ-2017-7#-00000100,8
2017,BJ-2017-7#-00000101,8
2017,BJ-2017-7#-00000102,8
2017,BJ-2017-7#-00000103,6
2017,BJ-2017-7#-00000104,6
2017,BJ-2017-7#-00000105,6
2017,BJ-2017-7#-00000106,6
2017,BJ-2017-7#-00000107,6
2017,BJ-2017-7#-00000108,6
2017,BJ-2017-7#-00000110,6
