DHSID_EA,lat,lon,n_quads,year,cat
BF-2017-7Z-00000215,14.4395749105,-0.227316090204,6,2017,5+
BF-2017-7Z-00000216,14.3629809061,-0.0336103741559,6,2017,5+
BF-2017-7Z-00000227,14.1003480126,-1.6241999095,8,2017,5+
BF-2017-7Z-00000221,14.0735023971,-0.270170774916,6,2017,5+
BF-2017-7Z-00000223,14.0146264283,-0.548185669209,6,2017,5+
BF-2017-7Z-00000224,14.0296919854,0.291611417577,5,2017,5+
BF-2017-7Z-00000222,14.032449059,0.237231955829,5,2017,5+
BF-2017-7Z-00000191,13.7669184198,-2.07176479316,8,2017,5+
BF-2017-7Z-00000219,13.7706164785,-0.305890809399,6,2017,5+
BF-2017-7Z-00000183,13.6492031255,-2.38519808296,5,2017,5+
BF-2017-7Z-00000190,13.6855181641,-1.97749633152,8,2017,5+
BF-2017-7Z-00000093,13.676250594,-1.54805033295,6,2017,5+
BF-2017-7Z-00000090,13.6368241114,-0.808194405735,5,2017,5+
BF-2017-7Z-00000220,13.6715200247,-0.0669776902942,5,2017,5+
BF-2017-7Z-00000011,13.549277272,-3.20308205602,8,2017,5+
BF-2017-7Z-00000182,13.5709901709,-2.41078222091,6,2017,5+
BF-2017-7Z-00000185,13.575994249,-2.39650266133,6,2017,5+
BF-2017-7Z-00000184,13.5710615992,-2.30246301873,8,2017,5+
BF-2017-7Z-00000096,13.5870462679,-1.71369517868,10,2017,5+
BF-2017-7Z-00000080,13.6001445818,-0.678052086208,8,2017,5+
BF-2017-7Z-00000083,13.5559616018,-0.287813499539,6,2017,5+
BF-2017-7Z-00000188,13.5084770923,-2.65371121059,6,2017,5+
BF-2017-7Z-00000186,13.4985898151,-2.18569667248,5,2017,5+
BF-2017-7Z-00000084,13.4631394229,-1.19206391307,6,2017,5+
BF-2017-7Z-00000189,13.4263424634,-2.51253007327,6,2017,5+
BF-2017-7Z-00000187,13.415028396,-1.97470360752,8,2017,5+
BF-2017-7Z-00000147,13.4057783377,-0.143039678964,8,2017,5+
BF-2017-7Z-00000010,13.2955082506,-2.8861010931,5,2017,5+
BF-2017-7Z-00000181,13.3445661886,-1.97065669033,6,2017,5+
BF-2017-7Z-00000097,13.2873492241,-1.7647729302,6,2017,5+
BF-2017-7Z-00000094,13.3294314706,-1.52877419955,5,2017,5+
BF-2017-7Z-00000082,13.3249883904,-0.558473035323,6,2017,5+
BF-2017-7Z-00000233,13.3617368113,0.431274078,5,2017,5+
BF-2017-7Z-00000001,13.2653896499,-3.85149105474,8,2017,5+
BF-2017-7Z-00000192,13.2030016109,-2.34099432493,6,2017,5+
BF-2017-7Z-00000194,13.2540190806,-2.21877754644,6,2017,5+
BF-2017-7Z-00000180,13.2545504273,-2.05901043978,6,2017,5+
BF-2017-7Z-00000193,13.1958206509,-2.33042363127,5,2017,5+
BF-2017-7Z-00000149,13.1455176616,-0.243026659688,5,2017,5+
BF-2017-7Z-00000150,13.1625703463,-0.287471534207,5,2017,5+
BF-2017-7Z-00000145,13.15924973,-0.0803845133336,5,2017,5+
BF-2017-7Z-00000176,13.0350101226,-1.64764696338,6,2017,5+
BF-2017-7Z-00000088,13.0669759707,-1.49928015914,6,2017,5+
BF-2017-7Z-00000086,13.1059004984,-1.22716057129,8,2017,5+
BF-2017-7Z-00000085,13.0698426049,-1.08319263045,8,2017,5+
BF-2017-7Z-00000148,13.0372790468,0.033566574078,8,2017,5+
BF-2017-7Z-00000232,13.1028966053,0.583833636615,6,2017,5+
BF-2017-7Z-00000002,12.9923832775,-4.21454366131,6,2017,5+
BF-2017-7Z-00000175,12.9219556481,-2.71339348276,6,2017,5+
BF-2017-7Z-00000177,12.8766156693,-2.44255176187,8,2017,5+
BF-2017-7Z-00000179,12.8619985646,-2.330598271,6,2017,5+
BF-2017-7Z-00000004,12.8263904299,-4.0057769381,6,2017,5+
BF-2017-7Z-00000204,12.8448404192,-1.69610806484,5,2017,5+
BF-2017-7Z-00000146,12.8267834779,-0.0224236561156,6,2017,5+
BF-2017-7Z-00000178,12.7294998267,-2.34480238856,6,2017,5+
BF-2017-7Z-00000087,12.738715817,-1.05143875867,8,2017,5+
BF-2017-7Z-00000081,12.7190085166,-0.251554707178,6,2017,5+
BF-2017-7Z-00000144,12.7092704172,0.257567079226,6,2017,5+
BF-2017-7Z-00000136,12.6884184763,2.05136840708,6,2017,5+
BF-2017-7Z-00000195,12.6519691091,-1.51177075969,5,2017,5+
BF-2017-7Z-00000201,12.6178048556,-1.19036381194,6,2017,5+
BF-2017-7Z-00000079,12.6700883223,-0.603930235818,5,2017,5+
BF-2017-7Z-00000141,12.6334130394,0.804130146786,5,2017,5+
BF-2017-7Z-00000007,12.5940248845,-3.3147483567,8,2017,5+
BF-2017-7Z-00000116,12.5283535476,-2.1646047166,6,2017,5+
BF-2017-7Z-00000114,12.5559243497,-1.98776319185,6,2017,5+
BF-2017-7Z-00000202,12.5247814087,-1.76866011134,8,2017,5+
BF-2017-7Z-00000196,12.5330173283,-1.37084424302,8,2017,5+
BF-2017-7Z-00000200,12.5839382708,-1.2978058856,6,2017,5+
BF-2017-7Z-00000143,12.5683697276,-0.160147268532,8,2017,5+
BF-2017-7Z-00000005,12.4527946266,-3.45505651823,5,2017,5+
